category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ１産業,2024年の帝国データバンクの調査で生成AIを実際に業務へ取り込んでいる企業について言及されている状況は？,大半が導入済み,約半数が導入済み,わずかしか導入していない,ほとんど導入していない,3,生成AIを実際に業務へ取り込んでいる企業はわずかとされています。
ステップ１産業,2030年にデータ／AI人材が不足する見込みの人数は？,約49万人,約59万人,約69万人,約79万人,4,約79万人不足する見込みとされています。
ステップ１科学技術,研究計画書や報告書などの様式に関する課題として挙げられているのは？,項目が少なすぎる,Excel・Wordベースで複数バージョン存在,完全にデジタル化されている,様式が統一されすぎている,2,Excel・Wordベースで複数バージョン存在し、様式が年度・事業ごとに微妙に異なることが課題です。
ステップ１科学技術,Research Management System（RMS）の機能として挙げられていないのは？,予実管理,不正検知AI,研究成果の自動評価,予算の繰越・前倒し対応,3,研究成果の自動評価については言及されていません。
ステップ１デジタル民主主義,パブリックコメントにおける「異常件数」の背景にある問題として挙げられているのは？,システムの不具合,専門知識の不足,多数派工作,意見の重複,3,多数派工作などの存在があることが背景として挙げられています。
ステップ１デジタル民主主義,アメリカで2021年に発表された類似プロジェクトでの工数削減効果は？,100件あたり約4.5時間と約8時間,100件あたり約6.5時間と約10時間,100件あたり約8.5時間と約12時間,100件あたり約10.5時間と約14時間,1,コメントの重複削除で100件あたり約4.5時間、類似トピック集約で約8時間の工数削減です。
ステップ１医療,オンライン診療が外来診療全体に占める割合（2021年データ）は？,0.001%,0.01%,0.1%,1%,1,外来診療全体におけるオンライン診療の割合はごくわずか（0.001%）と記載されています。
ステップ１医療,オンライン診療の普及のために検討される診療報酬の対応は？,減算,据え置き,加算,新設,3,オンライン診療普及のための診療報酬の加算を検討すると記載されています。
ステップ２,ステップ２の背景にある世界の変化として挙げられていないのは？,国際情勢の流動化,テクノロジーの飛躍的進化,人工知能の指数関数的性能向上,地球温暖化の加速,4,地球温暖化については言及されていません。
ステップ２,ステップ２で重要とされる２つの能力は？,回復力（レジリエンス）と敏捷性（アジリティ）,創造力と実行力,適応力と革新力,分析力と判断力,1,回復力（レジリエンス）と敏捷性（アジリティ）が重要とされています。
ステップ２,ステップ２に含まれる政策分野の数は？,3分野,4分野,5分野,6分野,2,ステップ２には教育、行政改革、経済財政、医療の4分野が含まれています。
ステップ２教育,日本の標準授業時数について、諸外国と比較した特徴は？,学年・教科双方で柔軟性がなく縛りが強い,学年のみ柔軟性がない,教科のみ柔軟性がない,諸外国と同程度の柔軟性,1,学年・教科双方で柔軟性がなく、諸外国と比較しても縛りが強い制度となっています。
ステップ２教育,学習指導要領の改定頻度について提案されている「マイナーアップデート」の頻度は？,半年に1回,毎年,2年に1回,3年に1回,2,マイナーアップデートは毎年行うことが提案されています。
ステップ２教育,デジタル併願制で使用されるアルゴリズムの名前は？,DAアルゴリズム,GAアルゴリズム,SAアルゴリズム,MAアルゴリズム,1,DAアルゴリズム（Deferred Acceptance Algorithm）が基礎になっています。
ステップ２行政改革,2020～2024年のCPI累計上昇率として挙げられている数値は？,4.4%,5.4%,6.4%,7.4%,3,2020～2024年のCPI累計上昇率は6.4%とされています。
ステップ２行政改革,「公共調達OSS・オープン化原則」の例外領域として挙げられているのは？,教育・医療・福祉,防衛・治安・個人情報,交通・通信・エネルギー,農業・漁業・林業,2,防衛・治安・個人情報等は例外領域として最小範囲で非公開とするとされています。
ステップ２行政改革,アジャイルガバナンスにおいて「無謬性神話」からの脱却が必要とされている理由は？,予算の制約があるため,環境変化が速く社会課題が複雑化しているため,技術の進歩が早いため,国際競争が激化しているため,2,環境変化が速く社会課題が複雑化・困難化する中で適時的確に対応するためです。
ステップ２行政改革,日本のOpen Data Inventory (ODIN) 2024での順位は？,36位,46位,56位,66位,2,46位／195か国となっています。
ステップ２行政改革,電子投票について2024年に大きなトラブルなく実施された自治体は？,四條畷市,東大阪市,茨木市,吹田市,1,2024年に四條畷市で電子投票が大きなトラブルなく実施されました。
ステップ２経済財政,経済財政諮問会議の直下に設立することが提案されている分科会の名前は？,長期戦略分科会,中長期シナリオ分科会,未来予測分科会,政策シナリオ分科会,2,「中長期シナリオ分科会」の設立が提案されています。
ステップ２経済財政,シナリオプランニングで想定されているAGI実現時期は？,2028年,2030年,2032年,2035年,2,「2030年、AGI実現による生産性大幅向上シナリオ」として想定されています。
ステップ２医療,OECDの報告で国際的に医療費のうち健康成果に直結していない可能性がある割合は？,約1割,約2割,約3割,約4割,2,OECDの報告では医療費のおよそ２割が健康成果に直結していない可能性があるとされています。
ステップ２医療,2022年度に242の急性期病院を対象にした調査で、健康成果に直結しない医療費の割合は？,0.13〜0.31％,0.23〜0.51％,0.33〜0.61％,0.43〜0.71％,2,0.23〜0.51％を占めるとされました。
ステップ３,ステップ３の背景として挙げられている重要な認識は？,再分配よりも成長が重要,成長の原資となるパイの確保が重要,短期的対策よりも長期投資,技術革新だけが解決策,2,分配の原資となる国家全体の経済的な富「パイ」の確保が重要という認識です。
ステップ３,ステップ３に含まれる政策分野の数は？,5分野,6分野,7分野,8分野,2,子育て、教育、科学技術、産業、エネルギー、経済財政の6分野が含まれています。
ステップ３子育て,初婚年齢の上昇に関連して使われている用語は？,少子化,高齢出産化,晩婚化,非婚化,3,初婚年齢の上昇、いわゆる晩婚化も進んでいると記載されています。
ステップ３子育て,結婚新生活支援事業補助金について検討されている改善内容として挙げられていないのは？,所得制限の緩和,助成金額の引き上げ,対象年齢の拡大,申請手続きの簡素化,3,対象年齢の拡大については言及されていません。
ステップ３子育て,不妊治療への保険適用について提案されている見直し内容は？,適用回数増加や助成金増額,適用対象の拡大,自己負担割合の軽減,すべて公費負担,1,適用回数増加や助成金増額などを柔軟に検討するとされています。
ステップ３子育て,分娩費用について目指されている最終目標は？,半額自己負担,一部自己負担,実質自己負担ゼロ,全額公費負担,3,標準的な出産費用の実質的な自己負担ゼロを目指すとされています。
ステップ３子育て,子育て世帯公営住宅について、国が提示するガイドラインの条件を満たした場合の支援は？,優先入居権の付与,家賃の減額,追加での補助金の提供,管理業務の代行,3,一定の条件を満たしたものには追加での補助金を提供すると記載されています。
ステップ３子育て,0歳から2歳までの保育料無償化について言及されている条件は？,所得制限あり,所得制限を設けることなく完全に無償化,一部自己負担あり,段階的な無償化,2,所得制限を設けることなく完全に無償化することを目指すとされています。
ステップ３子育て,保育士の離職率（平成28年度時点）と日本の平均離職率の比較は？,9.3%で平均15%より低い,9.3%で平均15%より高い,15%で平均9.3%より高い,15%で平均9.3%より低い,1,保育士の離職率は9.3%で日本の平均離職率15%より低いとされています。
ステップ３子育て,児童手当の金額引き上げについて検討される要素として挙げられているのは？,子どもの年齢のみ,地域ごとの物価差,世帯の所得水準,養育費の実態,2,地域ごとの物価差等を考慮した最適な金額設定が検討されています。
ステップ３子育て,フランスなどで導入実績があるとされている課税制度は？,累進課税制度,比例課税制度,N分N乗方式,定額課税制度,3,フランスなどで導入実績のあるN分N乗方式の課税制度導入が検討されています。
ステップ３教育,国家が投入する教育費について、対GDP費での日本の現状は？,OECD平均より高い,OECD平均と同程度,OECD平均より低い,データが不明,3,対GDP費だと諸外国（OECD平均）より低いとされています。
ステップ３教育,GIGAスクール端末について、推奨帯域を満たす学校の割合は？,21.6％,31.6％,41.6％,51.6％,1,推奨帯域を満たす学校はわずか２割強（21.6％）にとどまっています。
ステップ３教育,EdTechスタートアップへの政府ファンドの規模として提案されているのは？,300億円規模,400億円規模,500億円規模,600億円規模,3,500億円規模のEdTechスタートアップへの政府ファンド新設が提案されています。
ステップ３教育,18〜29歳の若年層で「起業関心層」の割合は？,17％,27％,37％,47％,2,18〜29歳の若年層でも「起業関心層」は27％にとどまっています。
ステップ３教育,2022年度の不登校児童・生徒数と全体に占める割合は？,299048人で3.2％,289048人で3.1％,309048人で3.3％,319048人で3.4％,1,2022年度の実績で不登校児童・生徒数は299048人で全体の3.2％です。
ステップ３教育,体験格差是正バウチャーとして提案されている年間支給額は？,5千円分,1万円分,1万5千円分,2万円分,2,年間１万円分のフィールド／インターン体験クレジットを全児童生徒に支給することが提案されています。
ステップ３科学技術,挑戦的・基礎的研究の推進に向けた高自由度・長期型研究資金制度の最大採択期間は？,5年,7年,10年,12年,2,採択期間は最大7年とされています。
ステップ３科学技術,日本の博士課程進学率のOECD諸国での位置づけは？,上位レベル,中位レベル,最低レベル,データなし,3,日本の博士課程進学率はOECD諸国の中でも最低レベルです。
ステップ３科学技術,ディープテックに関する投資割合は全体の何％程度に留まっているか？,1～3％程度,5～10％程度,15～20％程度,25～30％程度,2,ディープテックに関する投資割合は全体の5～10％程度に留まっています。
ステップ３科学技術,戦略技術分野の例として挙げられていない分野は？,ロボティクス,レーザー,バイオテクノロジー,金融テクノロジー,4,金融テクノロジーは戦略技術分野の例として挙げられていません。
ステップ３産業,自動運転の先進地域として挙げられている自治体は？,愛知県豊田市,福井県永平寺町,茨城県つくば市,沖縄県北谷町,2,福井県永平寺町ではレベル4の自動運転バスが導入されています。
ステップ３産業,国際標準化会合での日本人議長数について言及されている状況は？,主要国より多い,主要国と同程度,主要国に比べて少ない,データが不明,3,ISO／IECなど国際標準化会合での日本人議長数は主要国に比べて少ないとされています。
エネルギー,2030年時点の電源構成目標で原子力の比率は？,15〜17％,18〜20％,20〜22％,23〜25％,3,第6次エネルギー基本計画では原子力20〜22％と設定されています。
エネルギー,2023年の原子力発電の実績比率は？,6％,9％,12％,15％,2,2023年の実績は原子力9％でした。
エネルギー,2024年度見込みの再エネ賦課金による国民負担額は？,1.7兆円,2.7兆円,3.7兆円,4.7兆円,2,2024年度見込みで2.7兆円に達しています。
エネルギー,2030年時点で目指す原子力発電所の運転基数は？,20基以上,25基以上,30基以上,35基以上,2,2030年時点で25基以上の運転を実現するとされています。
経済財政,基礎的財政収支対名目GDP比で、これまでの実績として信認を過度に毀損せずに運営できたとされる財政赤字の水準は？,1〜2％,2〜3％,3〜4％,4〜5％,2,基礎的財政収支対名目GDP比2〜3%の財政赤字については信認を過度に毀損することなく運営できたとされています。
経済財政,2020年の基礎的財政収支対名目GDP比は？,-6.1％,-7.1％,-8.1％,-9.1％,4,2020年は-9.1%でした。
医療,日本のCT、MRIの台数について、OECDでの位置づけは？,中位レベル,上位レベル,トップクラス,最下位レベル,3,日本はCT、MRIの台数がOECDの中でもトップクラスを誇ります。
医療,国内の粒子線治療施設数と世界での位置づけは？,16施設で世界3位,26施設で米国に次ぐ2位,36施設で世界1位,46施設で世界1位,2,国内に26施設あり、米国に次ぐ設備数となります。
100日プラン,国政政党成立後100日プランで組織する永田町エンジニアチームの規模は？,5名規模,10名規模,15名規模,20名規模,2,10名規模の技術者集団（永田町エンジニアチーム）を組織するとされています。
100日プラン,オープンソース・コミュニティの組織規模として想定されているのは？,50名規模,100名規模,150名規模,200名規模,2,100名規模のオープンソース・コミュニティを組織するとされています。
100日プラン,政策立案・情報発信チームの規模は？,2名規模,3名規模,4名規模,5名規模,2,3名規模の実務家集団（政策立案・情報発信チーム）を組織するとされています。
